YYMMDD_HHMMSS.ssssss, StsCarrier, StsOverdrive, StsVSWR, StsVolatge, StsRfIn, StsTemp, StsAGC, MeasuredFWD, MeasuredRFL, MeasuredVolts, MeasuredRfIn, measuredtemp, AGCSetPt, Attenuation, VSWRTripPt, StsCarrierPA1, StsOverdrivePA1, StsVSWRPA1, StsVolatgePA1, StsRfInPA1, StsTempPA1, StsCarrierPA2, StsOverdrivePA2, StsVSWRPA2, StsVolatgePA2, StsRfInPA2, StsTempPA2, MeasuredFWDPA1, MeasuredFWDPA2, MeasuredRFLPA1, MeasuredRFLPA2, MeasuredVoltsPA1, MeasuredVoltsPA2, MeasuredRfInPA1, MeasuredRfInPA2, measuredtempPA1, measuredtempPA2, MeasuredFnl1PA1, MeasuredFnl1PA2, MeasuredFnl2PA1, MeasuredFnl2PA2, MeasuredFnl3PA1, MeasuredFnl3PA2, MeasuredDrv1PA1, MeasuredDrv1PA2, CurrentDrv1, CurrentFnl1, CurrentFnl2, CurrentFnl3, MeasuredFWDWatts, 
201123_155854.270254, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.7, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 248.0, 2.0, 0.0, 0.0, 50.0, 50.0, 51.0, 39.0, 28.0, 26.0, 35.4, 31.8, 35.0, 32.5, 34.5, 31.6, 1.7, 1.3, nan, nan, nan, nan, 3435.0, 677.6 ms
201123_155856.655126, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.7, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 249.0, 3.0, 0.0, 0.0, 50.0, 50.0, 51.0, 41.0, 28.0, 25.0, 35.4, 31.8, 35.0, 32.5, 34.5, 31.5, 1.7, 1.3, nan, nan, nan, nan, 3435.0, 1033.2 ms
201123_155858.982505, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.7, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 249.0, 2.0, 0.0, 0.0, 50.0, 50.0, 50.0, 42.0, 28.0, 25.0, 35.4, 31.8, 35.0, 32.5, 34.5, 31.5, 1.7, 1.3, nan, nan, nan, nan, 3435.0, 727.0 ms
201123_155901.436499, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 69.1, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 249.0, 3.0, 0.0, 0.0, 50.0, 50.0, 51.0, 42.0, 28.0, 26.0, 35.4, 32.0, 35.0, 32.5, 34.5, 31.6, 1.7, 1.3, nan, nan, nan, nan, 3455.0, 856.3 ms
201123_155903.598729, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.9, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 248.0, 2.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 28.0, 25.0, 35.4, 32.0, 35.0, 32.5, 34.5, 31.5, 1.7, 1.3, nan, nan, nan, nan, 3445.0, 835.7 ms
201123_155905.716152, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.7, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 249.0, 3.0, 0.0, 0.0, 50.0, 50.0, 50.0, 41.0, 28.0, 25.0, 35.4, 32.0, 35.0, 32.5, 34.5, 31.5, 1.7, 1.3, nan, nan, nan, nan, 3435.0, 753.4 ms
201123_155907.895904, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.7, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 249.0, 3.0, 0.0, 0.0, 50.0, 50.0, 51.0, 43.0, 28.0, 25.0, 35.4, 31.8, 35.0, 32.5, 34.5, 31.5, 1.7, 1.3, nan, nan, nan, nan, 3435.0, 737.1 ms
201123_155910.209754, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.7, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 248.0, 3.0, 0.0, 0.0, 50.0, 49.0, 50.0, 42.0, 28.0, 25.0, 35.4, 31.8, 35.0, 32.5, 34.5, 31.5, 1.7, 1.3, nan, nan, nan, nan, 3435.0, 904.4 ms
201123_155912.216473, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.7, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 249.0, 2.0, 0.0, 0.0, 50.0, 50.0, 51.0, 42.0, 28.0, 25.0, 35.2, 31.8, 35.0, 32.5, 34.5, 31.5, 1.7, 1.3, nan, nan, nan, nan, 3435.0, 818.3 ms
201123_155914.406315, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.5, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 249.0, 2.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 28.0, 25.0, 35.4, 31.8, 35.0, 32.5, 34.5, 31.5, 1.7, 1.3, nan, nan, nan, nan, 3425.0, 751.9 ms
