WF6x    	WF7x    	WF6y    	WF7y    
-0.350000	0.142812	-0.405000	0.000000
-0.341026	0.137484	-0.405000	0.000000
-0.332051	0.132155	-0.405000	0.000000
-0.323077	0.126827	-0.405000	0.000000
-0.314103	0.121498	-0.405000	0.000000
-0.305128	0.116170	-0.405000	0.000000
-0.296154	0.110841	-0.405000	0.000000
-0.287179	0.105513	-0.405000	0.000000
-0.278205	0.100184	-0.405000	0.000000
-0.269231	0.094856	-0.405000	0.000000
-0.260256	0.089527	-0.405000	0.000000
-0.251282	0.084199	-0.405000	0.000000
-0.242308	0.078870	-0.405000	0.000000
-0.233333	0.073542	-0.405000	0.000000
-0.224359	0.068213	-0.405000	0.000000
-0.215385	0.062885	-0.405000	0.000000
-0.206410	0.057556	-0.405000	0.000000
-0.197436	0.052228	-0.405000	0.000000
-0.188462	0.046899	-0.405000	0.000000
-0.179487	0.041571	-0.405000	0.000000
-0.170513	0.036242	-0.405000	0.000000
-0.161538	0.030913	-0.405000	0.000000
-0.152564	0.025585	-0.405000	0.000000
-0.143590	0.020256	-0.405000	0.000000
-0.134615	0.014928	-0.405000	0.000000
-0.125641	0.009599	-0.405000	0.000000
-0.116667	0.004271	-0.405000	0.000000
-0.107692	-0.001058	-0.405000	0.000000
-0.098718	-0.006386	-0.405000	0.000000
-0.089744	-0.011715	-0.405000	0.000000
-0.080769	-0.017043	-0.405000	0.000000
-0.071795	-0.022372	-0.405000	0.000000
-0.062821	-0.027700	-0.405000	0.000000
-0.053846	-0.033029	-0.405000	0.000000
-0.044872	-0.038357	-0.405000	0.000000
-0.035897	-0.043686	-0.405000	0.000000
-0.026923	-0.049014	-0.405000	0.000000
-0.017949	-0.054343	-0.405000	0.000000
-0.008974	-0.059671	-0.405000	0.000000
0.000000	-0.065000	-0.405000	0.000000
0.000000	-0.075000	-0.750000	0.204844
0.000000	-0.075000	-0.741026	0.199515
0.000000	-0.075000	-0.732051	0.194187
0.000000	-0.075000	-0.723077	0.188858
0.000000	-0.075000	-0.714103	0.183530
0.000000	-0.075000	-0.705128	0.178201
0.000000	-0.075000	-0.696154	0.172873
0.000000	-0.075000	-0.687179	0.167544
0.000000	-0.075000	-0.678205	0.162216
0.000000	-0.075000	-0.669231	0.156887
0.000000	-0.075000	-0.660256	0.151558
0.000000	-0.075000	-0.651282	0.146230
0.000000	-0.075000	-0.642308	0.140901
0.000000	-0.075000	-0.633333	0.135573
0.000000	-0.075000	-0.624359	0.130244
0.000000	-0.075000	-0.615385	0.124916
0.000000	-0.075000	-0.606410	0.119587
0.000000	-0.075000	-0.597436	0.114259
0.000000	-0.075000	-0.588462	0.108930
0.000000	-0.075000	-0.579487	0.103602
0.000000	-0.075000	-0.570513	0.098273
0.000000	-0.075000	-0.561538	0.092945
0.000000	-0.075000	-0.552564	0.087616
0.000000	-0.075000	-0.543590	0.082288
0.000000	-0.075000	-0.534615	0.076959
0.000000	-0.075000	-0.525641	0.071631
0.000000	-0.075000	-0.516667	0.066302
0.000000	-0.075000	-0.507692	0.060974
0.000000	-0.075000	-0.498718	0.055645
0.000000	-0.075000	-0.489744	0.050316
0.000000	-0.075000	-0.480769	0.044988
0.000000	-0.075000	-0.471795	0.039659
0.000000	-0.075000	-0.462821	0.034331
0.000000	-0.075000	-0.453846	0.029002
0.000000	-0.075000	-0.444872	0.023674
0.000000	-0.075000	-0.435897	0.018345
0.000000	-0.075000	-0.426923	0.013017
0.000000	-0.075000	-0.417949	0.007688
0.000000	-0.075000	-0.408974	0.002360
0.000000	-0.075000	-0.400000	-0.002969
