WF6x    	WF7x    	WF6y    	WF7y    
-0.350000	0.132812	-0.405000	0.000000
-0.341026	0.127484	-0.405000	0.000000
-0.332051	0.122155	-0.405000	0.000000
-0.323077	0.116827	-0.405000	0.000000
-0.314103	0.111498	-0.405000	0.000000
-0.305128	0.106170	-0.405000	0.000000
-0.296154	0.100841	-0.405000	0.000000
-0.287179	0.095513	-0.405000	0.000000
-0.278205	0.090184	-0.405000	0.000000
-0.269231	0.084856	-0.405000	0.000000
-0.260256	0.079527	-0.405000	0.000000
-0.251282	0.074199	-0.405000	0.000000
-0.242308	0.068870	-0.405000	0.000000
-0.233333	0.063542	-0.405000	0.000000
-0.224359	0.058213	-0.405000	0.000000
-0.215385	0.052885	-0.405000	0.000000
-0.206410	0.047556	-0.405000	0.000000
-0.197436	0.042228	-0.405000	0.000000
-0.188462	0.036899	-0.405000	0.000000
-0.179487	0.031571	-0.405000	0.000000
-0.170513	0.026242	-0.405000	0.000000
-0.161538	0.020913	-0.405000	0.000000
-0.152564	0.015585	-0.405000	0.000000
-0.143590	0.010256	-0.405000	0.000000
-0.134615	0.004928	-0.405000	0.000000
-0.125641	-0.000401	-0.405000	0.000000
-0.116667	-0.005729	-0.405000	0.000000
-0.107692	-0.011058	-0.405000	0.000000
-0.098718	-0.016386	-0.405000	0.000000
-0.089744	-0.021715	-0.405000	0.000000
-0.080769	-0.027043	-0.405000	0.000000
-0.071795	-0.032372	-0.405000	0.000000
-0.062821	-0.037700	-0.405000	0.000000
-0.053846	-0.043029	-0.405000	0.000000
-0.044872	-0.048357	-0.405000	0.000000
-0.035897	-0.053686	-0.405000	0.000000
-0.026923	-0.059014	-0.405000	0.000000
-0.017949	-0.064343	-0.405000	0.000000
-0.008974	-0.069671	-0.405000	0.000000
0.000000	-0.075000	-0.405000	0.000000
0.000000	-0.075000	-0.750000	0.214844
0.000000	-0.075000	-0.741026	0.209515
0.000000	-0.075000	-0.732051	0.204187
0.000000	-0.075000	-0.723077	0.198858
0.000000	-0.075000	-0.714103	0.193530
0.000000	-0.075000	-0.705128	0.188201
0.000000	-0.075000	-0.696154	0.182873
0.000000	-0.075000	-0.687179	0.177544
0.000000	-0.075000	-0.678205	0.172216
0.000000	-0.075000	-0.669231	0.166887
0.000000	-0.075000	-0.660256	0.161558
0.000000	-0.075000	-0.651282	0.156230
0.000000	-0.075000	-0.642308	0.150901
0.000000	-0.075000	-0.633333	0.145573
0.000000	-0.075000	-0.624359	0.140244
0.000000	-0.075000	-0.615385	0.134916
0.000000	-0.075000	-0.606410	0.129587
0.000000	-0.075000	-0.597436	0.124259
0.000000	-0.075000	-0.588462	0.118930
0.000000	-0.075000	-0.579487	0.113602
0.000000	-0.075000	-0.570513	0.108273
0.000000	-0.075000	-0.561538	0.102945
0.000000	-0.075000	-0.552564	0.097616
0.000000	-0.075000	-0.543590	0.092288
0.000000	-0.075000	-0.534615	0.086959
0.000000	-0.075000	-0.525641	0.081631
0.000000	-0.075000	-0.516667	0.076302
0.000000	-0.075000	-0.507692	0.070974
0.000000	-0.075000	-0.498718	0.065645
0.000000	-0.075000	-0.489744	0.060316
0.000000	-0.075000	-0.480769	0.054988
0.000000	-0.075000	-0.471795	0.049659
0.000000	-0.075000	-0.462821	0.044331
0.000000	-0.075000	-0.453846	0.039002
0.000000	-0.075000	-0.444872	0.033674
0.000000	-0.075000	-0.435897	0.028345
0.000000	-0.075000	-0.426923	0.023017
0.000000	-0.075000	-0.417949	0.017688
0.000000	-0.075000	-0.408974	0.012360
0.000000	-0.075000	-0.400000	0.007031
