Gun_Vac, Gun_Cross, SRF_Cavity_Vac, HE_Sraight_Vac, Insulating_Vac, E_Station_Vac, BH_OC_Temp, DBA_Pipe_Temp, Cu_Gun_Temp, HE_Straight_Col, DBA_Dump_CHWR, DBA_Dump_CHWS, Tuner_Plate_Temp, Gate_Valve_Downstream_Temp, Gate_Valve_Upstream_Temp, Loop_Bypass_CHWS, Loop_Bypass_CHWR, DBA_Coupler, Coupler_Shoulder, Solenoid_4_Temp, Solenoid_5_Temp
1585902708574.1716, 2.5834399348761483, 2.583606067150665, 2.5837721994251823, 2.583938331699699, 2.585101257621318, 2.585433522170352, 30101.00007790953, 30105.00007790953, 30103.00007790953, 30111.00007790953, 30311.00007790953, 30309.00007790953, 30109.00007790953, 30267.00007790953, 30263.00007790953, 30297.00007790953, 30299.00007790953, 30261.00007790953, 30211.00007790953, 30269.00007790953, 30271.00007790953
1585902708831.9404, 5.166879869752297, 5.16721213430133, 5.167544398850365, 5.167876663399398, 5.170202515242636, 5.170867044340704, 30101.000155819063, 30105.000155819063, 30103.000155819063, 30111.000155819063, 30311.000155819063, 30309.000155819063, 30109.000155819063, 30267.000155819063, 30263.000155819063, 30297.000155819063, 30299.000155819063, 30261.000155819063, 30211.000155819063, 30269.000155819063, 30271.000155819063
1585902709091.4883, 7.750319804628445, 7.750818201451996, 7.7513165982755465, 7.751814995099098, 7.755303772863954, 7.756300566511056, 30101.000233728595, 30105.000233728595, 30103.000233728595, 30111.000233728595, 30311.000233728595, 30309.000233728595, 30109.000233728595, 30267.000233728595, 30263.000233728595, 30297.000233728595, 30299.000233728595, 30261.000233728595, 30211.000233728595, 30269.000233728595, 30271.000233728595
1585902709352.8442, 10.333759739504593, 10.33442426860266, 10.33508879770073, 10.335753326798796, 10.340405030485272, 10.341734088681408, 30101.000311638127, 30105.000311638127, 30103.000311638127, 30111.000311638127, 30311.000311638127, 30309.000311638127, 30109.000311638127, 30267.000311638127, 30263.000311638127, 30297.000311638127, 30299.000311638127, 30261.000311638127, 30211.000311638127, 30269.000311638127, 30271.000311638127
1585902709624.1187, 12.917199674380742, 12.918030335753327, 12.918860997125911, 12.919691658498497, 12.92550628810659, 12.92716761085176, 30101.00038954766, 30105.00038954766, 30103.00038954766, 30111.00038954766, 30311.00038954766, 30309.00038954766, 30109.00038954766, 30267.00038954766, 30263.00038954766, 30297.00038954766, 30299.00038954766, 30261.00038954766, 30211.00038954766, 30269.00038954766, 30271.00038954766
1585902709897.3936, 15.50063960925689, 15.501636402903992, 15.502633196551093, 15.503629990198196, 15.510607545727908, 15.512601133022113, 30101.00046745719, 30105.00046745719, 30103.00046745719, 30111.00046745719, 30311.00046745719, 30309.00046745719, 30109.00046745719, 30267.00046745719, 30263.00046745719, 30297.00046745719, 30299.00046745719, 30261.00046745719, 30211.00046745719, 30269.00046745719, 30271.00046745719
1585902710156.2202, 18.084079544133036, 18.085242470054656, 18.086405395976275, 18.087568321897894, 18.095708803349225, 18.098034655192464, 30101.00054536672, 30105.00054536672, 30103.00054536672, 30111.00054536672, 30311.00054536672, 30309.00054536672, 30109.00054536672, 30267.00054536672, 30263.00054536672, 30297.00054536672, 30299.00054536672, 30261.00054536672, 30211.00054536672, 30269.00054536672, 30271.00054536672
1585902710415.3462, 20.667519479009187, 20.66884853720532, 20.67017759540146, 20.671506653597593, 20.680810060970543, 20.683468177362816, 30101.00062327625, 30105.00062327625, 30103.00062327625, 30111.00062327625, 30311.00062327625, 30309.00062327625, 30109.00062327625, 30267.00062327625, 30263.00062327625, 30297.00062327625, 30299.00062327625, 30261.00062327625, 30211.00062327625, 30269.00062327625, 30271.00062327625
1585902710714.6755, 23.250959413885333, 23.252454604355986, 23.25394979482664, 23.25544498529729, 23.26591131859186, 23.268901699533167, 30101.00070118578, 30105.00070118578, 30103.00070118578, 30111.00070118578, 30311.00070118578, 30309.00070118578, 30109.00070118578, 30267.00070118578, 30263.00070118578, 30297.00070118578, 30299.00070118578, 30261.00070118578, 30211.00070118578, 30269.00070118578, 30271.00070118578
1585902710966.4185, 25.834399348761483, 25.836060671506655, 25.837721994251822, 25.839383316996994, 25.85101257621318, 25.85433522170352, 30101.000779095313, 30105.000779095313, 30103.000779095313, 30111.000779095313, 30311.000779095313, 30309.000779095313, 30109.000779095313, 30267.000779095313, 30263.000779095313, 30297.000779095313, 30299.000779095313, 30261.000779095313, 30211.000779095313, 30269.000779095313, 30271.000779095313
